Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,acceptability_threshold,dim_data,drifting_clients,filename,ideal_cluster_num,ideal_cluster_num_deviation,initial_points_per_generator,m,max_iter_global,max_iter_local,mean_max_val,mean_min_val,n_clients,n_generators_per_client,n_repeats,n_time_steps,n_unused_client_generators,next_timestep_new_points_per_generator,num_clusters_used,ratio_drifted_clients,ratio_new_data_distribution,ratio_unused_client_generators,run_mode,tol_global,tol_local,drift_detected_counter,false_positive_rate,initial_global_db_max,initial_global_db_mean,initial_global_db_median,initial_global_db_min,initial_global_db_std
2024-01-08 10:02:13,246ms,1a29df4c93364eaab921cb5475e3e093,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.025,2,5,./results/no_local_drift_2024-01-08_10-02-13_results.pkl,10,0.0,1000,2,10,50,5,-5,10,1,20,10,0,100,10,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,0.6971577043011401,0.5272575636694888,0.4935988693990725,0.3803824270917214,0.09168809338960608
2024-01-08 09:59:32,244ms,80085309657f4948a8dd3a3d3cfa481a,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.025,2,5,./results/no_local_drift_2024-01-08_09-59-32_results.pkl,10,-0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,5,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,0.6926557268193866,0.5378936958772897,0.5295181910595146,0.44011230782498795,0.06458434275477747
2024-01-08 09:59:09,255ms,69f3a61a640b42d4a9247eb2d56496ea,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.01,100,5,./results/no_local_drift_2024-01-08_09-59-09_results.pkl,10,0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,15,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,44243.421250540545,38226.5889776727,38456.36680502813,28441.883720354377,3268.2929974302583
2024-01-08 09:58:22,247ms,23e1e4fa56bd4eb48068cae418fb5348,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.01,100,5,./results/no_local_drift_2024-01-08_09-58-22_results.pkl,10,0.0,1000,2,10,50,5,-5,10,1,20,10,0,100,10,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,0.20428039766788855,0.20129527734668198,0.20163034994052462,0.19717273736630578,0.0021421399695210944
2024-01-08 09:57:57,244ms,9dfa4e02137d4e7c8a8a4ac31c9e7f63,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.01,100,5,./results/no_local_drift_2024-01-08_09-57-57_results.pkl,10,-0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,5,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,0.4790037336527603,0.4652334563691742,0.4673031889760303,0.44785756147202116,0.00873133538600341
2024-01-08 09:57:46,254ms,a28a1b1f1c9549968912d8bbc282e533,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.01,25,5,./results/no_local_drift_2024-01-08_09-57-46_results.pkl,10,0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,15,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,26037.62727139973,17620.458895459516,18126.82238282051,9657.692648289301,4179.9283705583475
2024-01-08 09:57:08,243ms,f263653f713e46b19d2d30316ccebee6,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.01,25,5,./results/no_local_drift_2024-01-08_09-57-08_results.pkl,10,0.0,1000,2,10,50,5,-5,10,1,20,10,0,100,10,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,0.24265820525713783,0.22498370270152934,0.22337626065600985,0.21371036841659943,0.00796428596453497
2024-01-08 09:56:53,256ms,e98a00feb55a4c439650c365ee63590c,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.01,25,5,./results/no_local_drift_2024-01-08_09-56-53_results.pkl,10,-0.5,1000,2,10,50,5,-5,10,1,20,10,0,100,5,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,0.4826444469514947,0.44824119284965463,0.4479248876500183,0.42633432258220283,0.013918126213230915
2024-01-06 15:53:28,177ms,dc853cdd6ce14da8ab5a739e1e9746c5,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,,10,0.5,1000,2,10,50,5,-5,10,1,20,10,,100,15,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,46373.10849808037,33775.984236120144,32608.099283992637,25883.411844458016,4831.379562000487
2024-01-06 15:52:41,195ms,2355680fc1bc433b82d92276f2a42f07,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,,10,0.0,1000,2,10,50,5,-5,10,1,20,10,,100,10,0.5,0.1,0.0,no_local_drift,0.01,0.001,0,0,0.20236233131098244,0.19969090935660283,0.19938070191512444,0.1970291020675905,0.0014500361011505016
